(4295, '2021:08:17:10:35:46', '2021:08:17:10:35:46', 'L')
(4699, '2021:08:17:14:27:38', '2021:08:17:14:27:38', 'L')
(4700, '2021:08:17:14:27:38', '2021:08:17:14:27:38', 'R')
(4905, '2021:08:17:15:36:00', '2021:08:17:15:36:00', 'R')
(3482, '2021:08:13:16:20:58', '2021:08:13:16:20:58', 'L')
(3483, '2021:08:13:16:20:58', '2021:08:13:16:20:58', 'L')
(3488, '2021:08:13:16:20:58', '2021:08:13:16:20:58', 'L')
(3493, '2021:08:13:16:20:58', '2021:08:13:16:20:58', 'R')
(3497, '2021:08:13:16:20:58', '2021:08:13:16:20:58', 'R')
(3499, '2021:08:13:16:20:58', '2021:08:13:16:20:58', 'R')
(3500, '2021:08:13:16:20:58', '2021:08:13:16:20:58', 'R')
(3605, '2021:08:13:16:37:18', '2021:08:13:16:37:18', 'R')
(3606, '2021:08:13:16:37:18', '2021:08:13:16:37:18', 'L')
(3611, '2021:08:13:16:37:18', '2021:08:13:16:37:18', 'L')
(3615, '2021:08:13:16:37:18', '2021:08:13:16:37:18', 'L')
(3616, '2021:08:13:16:37:18', '2021:08:13:16:37:18', 'R')
(3618, '2021:08:13:16:37:18', '2021:08:13:16:37:18', 'R')
(3619, '2021:08:13:16:37:18', '2021:08:13:16:37:18', 'L')
(3620, '2021:08:13:16:37:18', '2021:08:13:16:37:18', 'R')
(3628, '2021:08:13:16:37:18', '2021:08:13:16:37:18', 'L')
(3636, '2021:08:13:16:37:18', '2021:08:13:16:37:18', 'L')
(3643, '2021:08:13:16:37:18', '2021:08:13:16:37:18', 'R')
(3644, '2021:08:13:16:37:18', '2021:08:13:16:37:18', 'L')
(3646, '2021:08:13:16:37:18', '2021:08:13:16:37:18', 'L')
(3648, '2021:08:13:16:37:18', '2021:08:13:16:37:18', 'L')
(3652, '2021:08:13:16:37:18', '2021:08:13:16:37:18', 'R')
(3655, '2021:08:13:16:37:18', '2021:08:13:16:37:18', 'R')
(3660, '2021:08:13:16:37:19', '2021:08:13:16:37:19', 'R')
(3661, '2021:08:13:16:37:19', '2021:08:13:16:37:19', 'L')
(3675, '2021:08:13:16:37:19', '2021:08:13:16:37:19', 'R')
(3679, '2021:08:13:16:37:19', '2021:08:13:16:37:19', 'R')
(3680, '2021:08:13:16:37:19', '2021:08:13:16:37:19', 'R')
(3682, '2021:08:13:16:37:19', '2021:08:13:16:37:19', 'L')
(3687, '2021:08:13:16:37:19', '2021:08:13:16:37:19', 'R')
(3690, '2021:08:13:16:37:19', '2021:08:13:16:37:19', 'L')
(3692, '2021:08:13:16:37:19', '2021:08:13:16:37:19', 'L')
(3693, '2021:08:13:16:37:19', '2021:08:13:16:37:19', 'R')
(4908, '2021:08:17:15:36:00', '2021:08:17:15:36:00', 'L')
